title,company,location,tags,description_url,extracted_skills
Brand Designer,Contra,Remote,,https://remoteok.com/remote-jobs/remote-brand-designer-contra-1093024,"1. Graphic design skills
2. Branding expertise
3. Creative thinking
4. Strong attention to detail
5. Ability to work collaboratively with team members"
Motion Designer,Contra,Remote,,https://remoteok.com/remote-jobs/remote-motion-designer-contra-1093022,"1. Proficiency in motion graphics software such as Adobe After Effects
2. Strong understanding of animation principles and techniques
3. Ability to create visually appealing and engaging motion graphics
4. Knowledge of video editing software such as Adobe Premiere Pro
5. Experience in creating animations for various platforms and formats, including social media and websites"
Web Developer,Contra,Remote,,https://remoteok.com/remote-jobs/remote-web-developer-contra-1093019,"1. Proficiency in web development languages such as HTML, CSS, and JavaScript
2. Experience with front-end frameworks such as React or Angular
3. Knowledge of back-end technologies like Node.js or Python
4. Ability to work with databases such as MySQL or MongoDB
5. Strong problem-solving and troubleshooting skills in web development."
VP of Engineering,Soda Data,Remote,,https://remoteok.com/remote-jobs/remote-vp-of-engineering-soda-data-1087577,"1. Leadership skills
2. Strategic planning
3. Technical expertise in engineering
4. Team management
5. Project management skills"
Symplast Forms Specialist Patient Intake Customizations,Symplast,Remote,,https://remoteok.com/remote-jobs/remote-symplast-forms-specialist-patient-intake-customizations-symplast-1092967,"1. Proficiency in using Symplast software
2. Experience in customizing patient intake forms
3. Strong attention to detail
4. Ability to effectively communicate with patients and colleagues
5. Knowledge of best practices in patient intake processes"
Data Migration Specialist Data Import & Export,Symplast,Remote,,https://remoteok.com/remote-jobs/remote-data-migration-specialist-data-import-export-symplast-1092966,"1. Data migration experience
2. Data import and export knowledge
3. Proficiency in data manipulation and transformation
4. Strong understanding of data mapping and data conversion
5. Familiarity with data migration tools and software"
Technical Consultant,Contra,Remote,,https://remoteok.com/remote-jobs/remote-technical-consultant-contra-1092960,"1. Strong technical knowledge and expertise in relevant field
2. Excellent problem-solving skills
3. Ability to effectively communicate technical information to non-technical stakeholders
4. Experience in providing technical consultation and support to clients
5. Proficiency in analyzing and troubleshooting technical issues"
Senior Data Engineer,Soda Data,Remote,,https://remoteok.com/remote-jobs/remote-senior-data-engineer-soda-data-1087414,"1. Strong experience in data engineering
2. Proficiency in data manipulation and analysis
3. Knowledge of data warehousing and ETL processes
4. Familiarity with programming languages such as Python, SQL, or Java
5. Ability to work with large datasets and complex data systems"
Data Warehouse Engineer,Plutus,Remote,,https://remoteok.com/remote-jobs/remote-data-warehouse-engineer-plutus-935089,"1. Data warehousing
2. Database management
3. ETL (Extract, Transform, Load) processes
4. SQL programming
5. Data modeling"
Data Scientist & Data Engineer AI ML,Lemon.io,Remote,,https://remoteok.com/remote-jobs/remote-data-scientist-data-engineer-ai-ml-lemon-io-613825,"1. Data science
2. Data engineering
3. Artificial intelligence
4. Machine learning
5. Data analysis"
Senior DataOps Engineer,Revelator,Remote,,https://remoteok.com/remote-jobs/remote-senior-dataops-engineer-revelator-599532,"1. Experience with data engineering and data operations
2. Proficiency in data management and data processing technologies
3. Strong understanding of cloud platforms and infrastructure
4. Ability to design and implement data pipelines
5. Knowledge of data quality and data governance best practices"
Senior Microsoft PowerBI Developer,Proxify,Remote,,https://remoteok.com/remote-jobs/remote-senior-microsoft-powerbi-developer-proxify-382265,"1. Proficiency in Microsoft PowerBI
2. Advanced data visualization skills
3. Experience in developing complex reports and dashboards
4. Strong understanding of data modeling and data analysis
5. Ability to work with large datasets and perform data manipulation"
Senior Data Engineer,Proxify,Remote,,https://remoteok.com/remote-jobs/remote-senior-data-engineer-proxify-382258,"1. Strong experience in data engineering
2. Proficiency in data processing and data modeling
3. Expertise in programming languages such as Python, Java, or Scala
4. Knowledge of big data technologies such as Hadoop, Spark, or Kafka
5. Ability to work with large datasets and complex data pipelines"
Senior Analyst for Customer Analytics & Insights,Nadine West,Remote,,https://remoteok.com/remote-jobs/remote-senior-analyst-for-customer-analytics-insights-nadine-west-344392,"1. Data analysis
2. Customer insights
3. Analytics
4. Market research
5. Statistical modeling"
Senior Data Engineer Long term,Proxify,Remote,,https://remoteok.com/remote-jobs/remote-senior-data-engineer-long-term-proxify-187862,"1. Strong experience in data engineering
2. Proficiency in programming languages such as Python, SQL, or Java
3. Knowledge of data warehousing and ETL processes
4. Experience with big data technologies such as Hadoop, Spark, or Kafka
5. Ability to work on long-term projects and collaborate with cross-functional teams"
Integrations Team Lead,CoinLedger,Remote,,https://remoteok.com/remote-jobs/remote-integrations-team-lead-coinledger-248850,"1. Leadership skills
2. Integration experience
3. Project management skills
4. Communication skills
5. Technical expertise"
Senior Backend and Data Engineer,Paperpile,Remote,,https://remoteok.com/remote-jobs/remote-senior-backend-and-data-engineer-paperpile-235198,"1. Backend development
2. Data engineering
3. Senior level experience
4. Technical skills
5. Problem-solving skills"
Data Engineer,Tessera,Remote,,https://remoteok.com/remote-jobs/remote-data-engineer-tessera-225194,"1. Proficiency in data manipulation and analysis
2. Experience with data modeling and database design
3. Strong programming skills, particularly in languages such as Python, SQL, or Java
4. Knowledge of data warehousing technologies and ETL processes
5. Ability to work with large datasets and implement data pipelines"
Staff Data Scientist Search Machine Learning Platform,Indeed,Remote,,https://remoteok.com/remote-jobs/remote-staff-data-scientist-search-machine-learning-platform-indeed-132377,"1. Machine Learning
2. Data Science
3. Search Platform
4. Data Analysis
5. Statistical Modeling"
Senior Product Manager SMB Labs,Indeed,Remote,,https://remoteok.com/remote-jobs/remote-senior-product-manager-smb-labs-indeed-132303,"1. Product management
2. Small and medium business (SMB) experience
3. Leadership skills
4. Strategic planning
5. Cross-functional collaboration"
Technical Fellow Job Seeker Engineering,Indeed,Remote,,https://remoteok.com/remote-jobs/remote-technical-fellow-job-seeker-engineering-indeed-131931,"1. Engineering expertise
2. Technical leadership
3. Innovation and research skills
4. Nanotechnology knowledge
5. Strong problem-solving abilities"
Team Lead Senior Data Analyst,Asana Rebel,Remote,,https://remoteok.com/remote-jobs/remote-team-lead-senior-data-analyst-asana-rebel-125319,"1. Data analysis
2. Leadership
3. Team management
4. Data interpretation
5. Communication skills"
Data Engineer,iVisa,Remote,,https://remoteok.com/remote-jobs/remote-data-engineer-ivisa-127676,"1. Strong programming skills in languages such as Python, Java, or Scala
2. Experience with big data technologies such as Hadoop, Spark, or Kafka
3. Proficiency in SQL and database management
4. Knowledge of data modeling and ETL processes
5. Ability to work with cross-functional teams and communicate effectively."
Data Engineer,Wander,Remote,,https://remoteok.com/remote-jobs/111674-remote-data-engineer-wander,"1. Proficiency in data engineering tools and technologies
2. Strong understanding of data modeling and database design
3. Experience with ETL processes and data pipelines
4. Knowledge of programming languages such as Python, SQL, or Java
5. Ability to work with large datasets and optimize data storage and retrieval processes"
Lead Software Engineer Backend,Agot AI,Remote,,https://remoteok.com/remote-jobs/111854-remote-lead-software-engineer-backend-agot-ai,"1. Strong proficiency in backend development
2. Experience leading a team of software engineers
3. Knowledge of software architecture and design principles
4. Proficiency in programming languages such as Java, Python, or C++
5. Experience with cloud technologies and microservices architecture"
Senior Marketing Analyst,Komoot,Remote,,https://remoteok.com/remote-jobs/110393-remote-senior-marketing-analyst-komoot,"1. Data analysis
2. Market research
3. Marketing strategy development
4. Statistical analysis
5. Strong communication skills"
Backend Go Developer,Hunter.io,Remote,,https://remoteok.com/remote-jobs/110171-remote-backend-go-developer-hunter-io,"1. Proficiency in Go programming language
2. Experience with backend development
3. Knowledge of web development technologies and frameworks
4. Understanding of database management systems
5. Ability to work in a team and collaborate effectively"
Data Delivery Engineer,BaseCap Analytics,Remote,,https://remoteok.com/remote-jobs/110839-remote-data-delivery-engineer-basecap-analytics,"1. Data engineering
2. Data management
3. Data integration
4. Database administration
5. Data analysis"
Developer Advocate,Bytewax,Remote,,https://remoteok.com/remote-jobs/110498-remote-developer-advocate-bytewax,"1. Strong communication skills
2. Technical expertise in software development
3. Ability to advocate for and promote developer tools and technologies
4. Experience in public speaking and presenting
5. Knowledge of developer community and industry trends"
Senior Data Engineer,Arrakis,Remote,,https://remoteok.com/remote-jobs/110315-remote-senior-data-engineer-arrakis,"1. Strong experience in data engineering
2. Proficiency in programming languages such as Python, Java, or Scala
3. Expertise in data processing frameworks such as Apache Spark or Hadoop
4. Knowledge of database technologies such as SQL, NoSQL, or cloud-based databases
5. Ability to design and implement scalable data pipelines and ETL processes"
